Win,Team,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,Vision Score,Total damage to Champion,DPM,K+A Per Minute,KP%,GD@15,CSD@15,XPD@15,LVLD@15,Total damage taken
1,GEN,Rascal,TOP,10,1,3,13,335,9.2,18392,507,52,22266,614,0.36,0.684,1548,-8,1464,1,29270
1,GEN,Clid,JUNGLE,2,3,8,3.3,273,7.5,13397,369,96,13310,367,0.28,0.526,903,12,1005,1,20097
1,GEN,Bdd,MID,2,1,8,10,319,8.8,15015,414,44,13188,363,0.28,0.526,-261,-20,-225,0,22769
1,GEN,Ruler,ADC,4,1,6,10,402,11.1,17486,482,45,12990,358,0.28,0.526,-44,-4,-205,0,10025
1,GEN,Life,SUPPORT,1,2,7,4,56,1.5,8791,242,112,3264,90,0.22,0.421,-55,6,-258,0,12200
0,KT Rolster,Doran,TOP,0,7,1,0.1,250,6.9,10577,292,31,11096,306,0.03,0.125,-1548,8,-1464,-1,22514
0,KT Rolster,Bonnie,JUNGLE,1,2,4,2.5,204,5.6,11226,309,112,9576,264,0.14,0.625,-903,-12,-1005,-1,27841
0,KT Rolster,Ucal,MID,3,3,3,2,373,10.3,15239,420,33,20469,564,0.17,0.75,261,20,225,0,14173
0,KT Rolster,HyBrid,ADC,3,3,2,1.7,399,11,16352,451,58,10979,303,0.14,0.625,44,4,205,0,17441
0,KT Rolster,Zzus,SUPPORT,1,4,5,1.5,35,1,7630,210,93,3666,101,0.17,0.75,55,-6,258,0,15262
0,KT Rolster,Doran,TOP,1,3,1,0.7,255,8.5,10663,355,23,21499,717,0.07,0.25,-725,-4,-117,0,24155
0,KT Rolster,Bonnie,JUNGLE,4,6,3,1.2,146,4.9,9750,325,55,10554,352,0.23,0.875,-381,-24,-1500,-1,23843
0,KT Rolster,Ucal,MID,3,3,2,1.7,292,9.7,11975,399,30,23970,799,0.17,0.625,495,15,-102,0,11396
0,KT Rolster,HyBrid,ADC,0,5,3,0.6,244,8.1,10430,348,26,9485,316,0.1,0.375,-716,-14,234,0,14688
0,KT Rolster,Zzus,SUPPORT,0,6,5,0.8,28,0.9,5972,199,65,2688,90,0.17,0.625,-859,-2,-577,-1,12339
1,GEN,Rascal,TOP,4,1,9,13,278,9.3,14356,479,18,15255,509,0.43,0.565,725,4,117,0,32081
1,GEN,Clid,JUNGLE,4,3,5,3,176,5.9,11324,377,43,10473,349,0.3,0.391,381,24,1500,1,36412
1,GEN,Bdd,MID,3,0,10,15.6,227,7.6,12024,401,29,18747,625,0.43,0.565,-495,-15,102,0,13200
1,GEN,Ruler,ADC,10,1,4,14,295,9.8,16312,544,55,16843,561,0.47,0.609,716,14,-234,0,11824
1,GEN,Life,SUPPORT,2,3,10,4,42,1.4,8376,279,96,6178,206,0.4,0.522,859,2,577,1,14886
