Team,Player,Role,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Damage dealt to turrets,Total heal,Damage self mitigated,Time ccing others,Total damage taken,Win
GEN,Rascal,TOP,10,1,3,13,335,14,20,9.2,18392,507,0.252,52,11,24,8,1.43,0.3,0.22,0.66,0.149,22266,14077,823,7366,614,0.342,0.36,0.684,5,0,0,0,0,1548,-8,1464,1,6639,14604,27639,21,29270,1
GEN,Clid,JUNGLE,2,3,8,3.3,273,128,26,7.5,13397,369,0.183,96,43,27,12,2.65,1.19,0.33,0.74,0.275,13310,424,12356,530,367,0.205,0.28,0.526,,0,0,0,0,903,12,1005,1,1029,10777,9583,7,20097,1
GEN,Bdd,MID,2,1,8,10,319,16,8,8.8,15015,414,0.205,44,19,17,14,1.21,0.52,0.39,0.47,0.126,13188,6894,4303,1991,363,0.203,0.28,0.526,,0,0,0,0,-261,-20,-225,0,3283,8351,31403,8,22769,1
GEN,Ruler,ADC,4,1,6,10,402,17,4,11.1,17486,482,0.239,45,19,11,11,1.24,0.52,0.3,0.3,0.129,12990,10581,2335,74,358,0.2,0.28,0.526,,0,0,0,0,-44,-4,-205,0,11001,3464,5448,19,10025,1
GEN,Life,SUPPORT,1,2,7,4,56,0,0,1.5,8791,242,0.12,112,67,28,20,3.09,1.85,0.55,0.77,0.321,3264,2242,11,1011,90,0.05,0.22,0.421,,0,0,0,0,-55,6,-258,0,236,1571,7826,17,12200,1
KT Rolster,Doran,TOP,0,7,1,0.1,250,0,0,6.9,10577,292,0.173,31,22,7,11,0.85,0.61,0.3,0.19,0.095,11096,8096,3000,0,306,0.199,0.03,0.125,,0,0,0,0,-1548,8,-1464,-1,0,3349,16743,13,22514,0
KT Rolster,Bonnie,JUNGLE,1,2,4,2.5,204,117,3,5.6,11226,309,0.184,112,52,39,15,3.09,1.43,0.41,1.07,0.343,9576,622,8592,362,264,0.172,0.14,0.625,,0,0,0,0,-903,-12,-1005,-1,0,17740,15348,2,27841,0
KT Rolster,Ucal,MID,3,3,3,2,373,8,0,10.3,15239,420,0.25,33,15,11,5,0.91,0.41,0.14,0.3,0.101,20469,1259,19210,0,564,0.367,0.17,0.75,,0,0,0,0,261,20,225,0,5418,1084,16425,19,14173,0
KT Rolster,HyBrid,ADC,3,3,2,1.7,399,36,0,11,16352,451,0.268,58,31,18,5,1.6,0.85,0.14,0.5,0.177,10979,7242,2852,885,303,0.197,0.14,0.625,,0,0,0,0,44,4,205,0,134,4620,14883,3,17441,0
KT Rolster,Zzus,SUPPORT,1,4,5,1.5,35,0,0,1,7630,210,0.125,93,75,13,26,2.56,2.07,0.72,0.36,0.284,3666,288,2838,540,101,0.066,0.17,0.75,,0,0,0,0,55,-6,258,0,66,4117,22783,18,15262,0
KT Rolster,Doran,TOP,1,3,1,0.7,255,5,0,8.5,10663,355,0.219,23,14,3,4,0.77,0.47,0.13,0.1,0.116,21499,17349,4150,0,717,0.315,0.07,0.25,1,0,0,0,0,-725,-4,-117,0,2486,6678,26287,33,24155,0
KT Rolster,Bonnie,JUNGLE,4,6,3,1.2,146,100,0,4.9,9750,325,0.2,55,25,12,9,1.83,0.83,0.3,0.4,0.276,10554,9118,756,680,352,0.155,0.23,0.875,,0,0,0,0,-381,-24,-1500,-1,0,7740,12339,9,23843,0
KT Rolster,Ucal,MID,3,3,2,1.7,292,14,2,9.7,11975,399,0.245,30,12,7,4,1,0.4,0.13,0.23,0.151,23970,336,23562,72,799,0.351,0.17,0.625,,0,0,0,0,495,15,-102,0,0,1337,11313,13,11396,0
KT Rolster,HyBrid,ADC,0,5,3,0.6,244,13,0,8.1,10430,348,0.214,26,8,14,2,0.87,0.27,0.07,0.47,0.131,9485,7998,493,994,316,0.139,0.1,0.375,,0,0,0,0,-716,-14,234,0,4922,3296,6970,13,14688,0
